trial,run,block,condition,judgement,context,word1,word2,correct_resp,instr_start
1,18,1,fixation,fixation,fixation,fixation,fixation,0,1
2,18,1,false_font,identity,control,blave,blave,3,1
3,18,1,false_font,identity,control,sool,wool,4,0
4,18,1,false_font,identity,control,drown,drown,3,0
5,18,1,false_font,identity,control,owns,owns,3,0
6,18,2,fixation,fixation,fixation,fixation,fixation,0,1
7,18,2,phonological,rhyming,metronome_only,fouse,bouse,3,1
8,18,2,phonological,rhyming,metronome_only,gorf,zorf,3,0
9,18,2,phonological,rhyming,metronome_only,foose,koose,3,0
10,18,2,phonological,rhyming,metronome_only,chike,cise,4,0
11,18,3,fixation,fixation,fixation,fixation,fixation,0,1
12,18,3,orthographic,identity,cvc_metronome,sizes,roofs,4,1
13,18,3,orthographic,identity,cvc_metronome,brass,brass,3,0
14,18,3,orthographic,identity,cvc_metronome,worms,awake,4,0
15,18,3,orthographic,identity,cvc_metronome,lute,lute,3,0
16,18,4,fixation,fixation,fixation,fixation,fixation,0,1
17,18,4,orthographic,identity,cvc_only,lofts,scar,4,1
18,18,4,orthographic,identity,cvc_only,verge,coma,4,0
19,18,4,orthographic,identity,cvc_only,track,track,3,0
20,18,4,orthographic,identity,cvc_only,harm,many,4,0
21,18,5,fixation,fixation,fixation,fixation,fixation,0,1
22,18,5,false_font,identity,control,built,built,3,1
23,18,5,false_font,identity,control,lurks,gurks,4,0
24,18,5,false_font,identity,control,nover,sover,4,0
25,18,5,false_font,identity,control,sulky,sulky,3,0
26,18,6,fixation,fixation,fixation,fixation,fixation,0,1
27,18,6,orthographic,identity,metronome_only,sever,sever,3,1
28,18,6,orthographic,identity,metronome_only,shift,gusts,4,0
29,18,6,orthographic,identity,metronome_only,boats,boats,3,0
30,18,6,orthographic,identity,metronome_only,neat,neat,3,0
31,18,7,fixation,fixation,fixation,fixation,fixation,0,1
32,18,7,phonological,rhyming,cvc_metronome,beacs,gitt,4,1
33,18,7,phonological,rhyming,cvc_metronome,vung,nani,4,0
34,18,7,phonological,rhyming,cvc_metronome,vril,cril,3,0
35,18,7,phonological,rhyming,cvc_metronome,blee,tlee,3,0
36,18,8,fixation,fixation,fixation,fixation,fixation,0,1
37,18,8,phonological,rhyming,cvc_only,thove,firen,4,1
38,18,8,phonological,rhyming,cvc_only,hoose,clurl,4,0
39,18,8,phonological,rhyming,cvc_only,hith,nith,3,0
40,18,8,phonological,rhyming,cvc_only,dosey,nosts,4,0
