trial,run,block,condition,judgement,context,word1,word2,correct_resp,instr_start
1,18,1,fixation,fixation,fixation,fixation,fixation,0,1
2,18,1,phonological,rhyming,cvc_only,corth,fora,4,1
3,18,1,phonological,rhyming,cvc_only,renoy,lenoy,3,0
4,18,1,phonological,rhyming,cvc_only,havel,bavel,3,0
5,18,1,phonological,rhyming,cvc_only,lasme,fover,4,0
6,18,2,fixation,fixation,fixation,fixation,fixation,0,1
7,18,2,false_font,identity,control,hama,hama,3,1
8,18,2,false_font,identity,control,chack,qhack,4,0
9,18,2,false_font,identity,control,raken,caken,4,0
10,18,2,false_font,identity,control,peags,peags,3,0
11,18,3,fixation,fixation,fixation,fixation,fixation,0,1
12,18,3,phonological,rhyming,metronome_only,hoal,noast,4,1
13,18,3,phonological,rhyming,metronome_only,loct,tiry,4,0
14,18,3,phonological,rhyming,metronome_only,mozem,fozem,3,0
15,18,3,phonological,rhyming,metronome_only,fors,jors,3,0
16,18,4,fixation,fixation,fixation,fixation,fixation,0,1
17,18,4,orthographic,identity,metronome_only,kites,tonic,4,1
18,18,4,orthographic,identity,metronome_only,goats,goats,3,0
19,18,4,orthographic,identity,metronome_only,womb,slate,4,0
20,18,4,orthographic,identity,metronome_only,baron,baron,3,0
21,18,5,fixation,fixation,fixation,fixation,fixation,0,1
22,18,5,orthographic,identity,cvc_metronome,scheme,scheme,3,1
23,18,5,orthographic,identity,cvc_metronome,jives,tours,4,0
24,18,5,orthographic,identity,cvc_metronome,tuba,tuba,3,0
25,18,5,orthographic,identity,cvc_metronome,stoke,sigh,4,0
26,18,6,fixation,fixation,fixation,fixation,fixation,0,1
27,18,6,false_font,identity,control,lamel,yamel,4,1
28,18,6,false_font,identity,control,chig,chig,3,0
29,18,6,false_font,identity,control,allet,illet,4,0
30,18,6,false_font,identity,control,chot,chot,3,0
31,18,7,fixation,fixation,fixation,fixation,fixation,0,1
32,18,7,orthographic,identity,cvc_only,sift,sift,3,1
33,18,7,orthographic,identity,cvc_only,lobby,lobby,3,0
34,18,7,orthographic,identity,cvc_only,motel,scans,4,0
35,18,7,orthographic,identity,cvc_only,taunt,reach,4,0
36,18,8,fixation,fixation,fixation,fixation,fixation,0,1
37,18,8,phonological,rhyming,cvc_metronome,zorj,corj,3,1
38,18,8,phonological,rhyming,cvc_metronome,sceak,galt,4,0
39,18,8,phonological,rhyming,cvc_metronome,srew,rists,4,0
40,18,8,phonological,rhyming,cvc_metronome,gelle,nelle,3,0
