trial,run,block,condition,judgement,context,word1,word2,correct_resp,instr_start
1,18,1,fixation,fixation,fixation,fixation,fixation,0,1
2,18,1,phonological,rhyming,cvc_only,yunk,viot,4,1
3,18,1,phonological,rhyming,cvc_only,whot,norty,4,0
4,18,1,phonological,rhyming,cvc_only,chun,dhun,3,0
5,18,1,phonological,rhyming,cvc_only,chis,skiel,4,0
6,18,2,fixation,fixation,fixation,fixation,fixation,0,1
7,18,2,orthographic,identity,cvc_metronome,tally,teak,4,1
8,18,2,orthographic,identity,cvc_metronome,whine,whine,3,0
9,18,2,orthographic,identity,cvc_metronome,watch,sinus,4,0
10,18,2,orthographic,identity,cvc_metronome,cram,cram,3,0
11,18,3,fixation,fixation,fixation,fixation,fixation,0,1
12,18,3,false_font,identity,control,reats,reats,3,1
13,18,3,false_font,identity,control,lambs,jambs,4,0
14,18,3,false_font,identity,control,plus,plus,3,0
15,18,3,false_font,identity,control,drops,drops,3,0
16,18,4,fixation,fixation,fixation,fixation,fixation,0,1
17,18,4,orthographic,identity,cvc_only,hover,quirk,4,1
18,18,4,orthographic,identity,cvc_only,tilts,stout,4,0
19,18,4,orthographic,identity,cvc_only,cruel,cruel,3,0
20,18,4,orthographic,identity,cvc_only,woof,sure,4,0
21,18,5,fixation,fixation,fixation,fixation,fixation,0,1
22,18,5,phonological,rhyming,metronome_only,twirt,stirt,3,1
23,18,5,phonological,rhyming,metronome_only,twirt,stirt,3,0
24,18,5,phonological,rhyming,metronome_only,lasks,yasks,3,0
25,18,5,phonological,rhyming,metronome_only,blits,smam,4,0
26,18,6,fixation,fixation,fixation,fixation,fixation,0,1
27,18,6,phonological,rhyming,cvc_metronome,sefs,fora,4,1
28,18,6,phonological,rhyming,cvc_metronome,swark,larm,4,0
29,18,6,phonological,rhyming,cvc_metronome,trabe,krabe,3,0
30,18,6,phonological,rhyming,cvc_metronome,brove,slove,3,0
31,18,7,fixation,fixation,fixation,fixation,fixation,0,1
32,18,7,false_font,identity,control,beef,beef,3,1
33,18,7,false_font,identity,control,lobby,tobby,4,0
34,18,7,false_font,identity,control,sigh,qigh,4,0
35,18,7,false_font,identity,control,blaze,blaze,3,0
36,18,8,fixation,fixation,fixation,fixation,fixation,0,1
37,18,8,orthographic,identity,metronome_only,know,know,3,1
38,18,8,orthographic,identity,metronome_only,gibes,cooky,4,0
39,18,8,orthographic,identity,metronome_only,tooth,tooth,3,0
40,18,8,orthographic,identity,metronome_only,bull,bull,3,0
